,origin,destination,depart_time,depart_weekday,duration,arrival_time,arrival_weekday,flight_no,airline_code,airline,economy_fare,business_fare,first_fare
25,DEL,BLR,06:05:00,1,10200000000,08:55:00,1,,Sp,SpiceJet,6353.0,0.0,0.0
26,DEL,BLR,08:10:00,6,9000000000,10:40:00,6,,Ai,AirAsia India,7026.0,0.0,0.0
27,DEL,BLR,08:10:00,5,9000000000,10:40:00,5,,Ai,AirAsia India,7026.0,0.0,0.0
28,DEL,BLR,08:10:00,1,9000000000,10:40:00,1,,Ai,AirAsia India,7026.0,0.0,0.0
29,DEL,BLR,21:40:00,0,10200000000,00:30:00,0,,Ai,AirAsia India,7026.0,0.0,0.0
30,DEL,BLR,21:40:00,1,10200000000,00:30:00,1,,Ai,AirAsia India,7026.0,0.0,0.0
31,DEL,BLR,18:45:00,1,10500000000,21:40:00,1,,Ai,AirAsia India,7026.0,0.0,0.0
32,DEL,BLR,20:30:00,0,10500000000,23:25:00,0,,Go,Go First,7105.0,0.0,0.0
33,DEL,BLR,05:50:00,1,9900000000,08:35:00,1,,Go,Go First,7106.0,0.0,0.0
34,DEL,BLR,05:50:00,6,9900000000,08:35:00,6,,Go,Go First,7106.0,0.0,0.0
35,DEL,BLR,05:50:00,0,9900000000,08:35:00,0,,Go,Go First,7106.0,0.0,0.0
36,DEL,BLR,05:50:00,4,9900000000,08:35:00,4,,Go,Go First,7106.0,0.0,0.0
37,DEL,BLR,20:30:00,1,10500000000,23:25:00,1,,Go,Go First,7106.0,0.0,0.0
38,DEL,BLR,08:10:00,4,9000000000,10:40:00,4,,Ai,AirAsia India,7202.0,0.0,0.0
39,DEL,BLR,21:40:00,4,10200000000,00:30:00,4,,Ai,AirAsia India,7203.0,0.0,0.0
40,DEL,BLR,20:00:00,1,9000000000,22:30:00,1,,Sp,SpiceJet,8380.0,0.0,0.0
41,DEL,BLR,20:30:00,6,10500000000,23:25:00,6,,Go,Go First,8483.0,0.0,0.0
42,DEL,BLR,06:05:00,4,10200000000,08:55:00,4,,Sp,SpiceJet,8484.0,0.0,0.0
43,DEL,BLR,09:35:00,5,10200000000,12:25:00,5,,Ai,AirAsia India,8590.0,0.0,0.0
44,DEL,BLR,09:35:00,6,10200000000,12:25:00,6,,Ai,AirAsia India,8590.0,0.0,0.0
45,DEL,BLR,18:45:00,6,10500000000,21:40:00,6,,Ai,AirAsia India,8590.0,0.0,0.0
46,DEL,BLR,18:45:00,4,10500000000,21:40:00,4,,Ai,AirAsia India,8590.0,0.0,0.0
47,DEL,BLR,18:45:00,0,10500000000,21:40:00,0,,Ai,AirAsia India,8591.0,0.0,0.0
48,DEL,BLR,20:30:00,5,10500000000,23:25:00,5,,Go,Go First,11038.0,0.0,0.0
49,DEL,MAA,13:45:00,1,10200000000,16:35:00,1,,Vi,Vistara,10462.0,11891.0,0.0
50,DEL,MAA,19:55:00,1,10200000000,22:45:00,1,,Vi,Vistara,10462.0,11891.0,0.0
51,DEL,MAA,08:45:00,3,9600000000,11:25:00,3,,Sp,SpiceJet,10644.0,0.0,0.0
52,DEL,MAA,08:45:00,4,9600000000,11:25:00,4,,Sp,SpiceJet,10644.0,0.0,0.0
53,DEL,MAA,08:45:00,5,9600000000,11:25:00,5,,Sp,SpiceJet,10644.0,0.0,0.0
54,DEL,MAA,08:45:00,6,9600000000,11:25:00,6,,Sp,SpiceJet,10644.0,0.0,0.0
55,DEL,MAA,18:25:00,4,9900000000,21:10:00,4,,Sp,SpiceJet,10644.0,0.0,0.0
56,DEL,MAA,18:25:00,5,9900000000,21:10:00,5,,Sp,SpiceJet,10644.0,0.0,0.0
57,DEL,MAA,18:25:00,1,9900000000,21:10:00,1,,Sp,SpiceJet,10644.0,0.0,0.0
58,DEL,MAA,19:55:00,2,10200000000,22:45:00,2,,Vi,Vistara,10644.0,11891.0,30449.0
59,DEL,MAA,13:45:00,2,10200000000,16:35:00,2,,Vi,Vistara,10644.0,13090.0,0.0
60,DEL,MAA,07:00:00,6,10200000000,09:50:00,6,,Vi,Vistara,10644.0,11891.0,0.0
61,DEL,MAA,07:00:00,5,10200000000,09:50:00,5,,Vi,Vistara,10644.0,13090.0,30449.0
62,DEL,MAA,13:45:00,4,10200000000,16:35:00,4,,Vi,Vistara,10644.0,16386.0,30609.0
63,DEL,MAA,13:45:00,5,10200000000,16:35:00,5,,Vi,Vistara,10644.0,11891.0,30449.0
64,DEL,MAA,20:40:00,2,10500000000,23:35:00,2,,Ai,Air India,10646.0,0.0,30622.0
65,DEL,MAA,09:45:00,0,10500000000,12:40:00,0,,Ai,Air India,10646.0,0.0,30622.0
66,DEL,MAA,20:40:00,6,10500000000,23:35:00,6,,Ai,Air India,10646.0,0.0,0.0
67,DEL,MAA,20:40:00,4,10500000000,23:35:00,4,,Ai,Air India,10646.0,0.0,0.0
68,DEL,MAA,20:40:00,5,10500000000,23:35:00,5,,Ai,Air India,10646.0,0.0,0.0
69,DEL,MAA,20:40:00,0,10500000000,23:35:00,0,,Ai,Air India,10646.0,0.0,30622.0
70,DEL,MAA,20:40:00,1,10500000000,23:35:00,1,,Ai,Air India,10646.0,0.0,30622.0
71,DEL,MAA,09:45:00,3,10500000000,12:40:00,3,,Ai,Air India,10646.0,0.0,0.0
72,DEL,MAA,09:45:00,1,10500000000,12:40:00,1,,Ai,Air India,10646.0,0.0,0.0
73,DEL,MAA,09:45:00,2,10500000000,12:40:00,2,,Ai,Air India,10646.0,0.0,0.0
74,DEL,COK,04:55:00,0,12000000000,08:15:00,0,,Ai,Air India,11740.0,0.0,33138.0
75,DEL,COK,15:55:00,0,11700000000,19:10:00,0,,Vi,Vistara,11767.0,14288.0,33150.0
76,DEL,COK,05:30:00,5,11400000000,08:40:00,5,,Vi,Vistara,11949.0,14288.0,37281.0
77,DEL,COK,05:30:00,6,11400000000,08:40:00,6,,Vi,Vistara,11949.0,14288.0,49863.0
78,DEL,COK,05:30:00,3,11400000000,08:40:00,3,,Vi,Vistara,11949.0,14288.0,49863.0
79,DEL,COK,05:30:00,1,11400000000,08:40:00,1,,Vi,Vistara,11949.0,16565.0,32966.0
80,DEL,COK,04:55:00,2,12000000000,08:15:00,2,,Ai,Air India,11951.0,0.0,33138.0
81,DEL,COK,04:55:00,6,12000000000,08:15:00,6,,Ai,Air India,11951.0,0.0,33138.0
82,DEL,COK,04:55:00,1,12000000000,08:15:00,1,,Ai,Air India,11951.0,0.0,33138.0
83,DEL,COK,04:55:00,5,12000000000,08:15:00,5,,Ai,Air India,11951.0,0.0,33138.0
84,DEL,COK,04:55:00,4,12000000000,08:15:00,4,,Ai,Air India,11951.0,0.0,33138.0
85,DEL,COK,04:55:00,3,12000000000,08:15:00,3,,Ai,Air India,11951.0,0.0,33138.0
86,DEL,COK,05:50:00,5,11100000000,08:55:00,5,,In,IndiGo,12345.0,0.0,0.0
87,DEL,COK,05:50:00,2,11100000000,08:55:00,2,,In,IndiGo,12345.0,0.0,0.0
88,DEL,COK,05:50:00,0,11100000000,08:55:00,0,,In,IndiGo,12345.0,0.0,0.0
89,DEL,COK,05:50:00,1,11100000000,08:55:00,1,,In,IndiGo,12345.0,0.0,0.0
90,DEL,COK,05:50:00,3,11100000000,08:55:00,3,,In,IndiGo,12345.0,0.0,0.0
91,DEL,COK,05:50:00,6,11100000000,08:55:00,6,,In,IndiGo,12345.0,0.0,0.0
92,DEL,COK,05:50:00,4,11100000000,08:55:00,4,,In,IndiGo,12345.0,0.0,0.0
93,DEL,COK,17:55:00,3,11400000000,21:05:00,3,,In,IndiGo,12345.0,0.0,0.0
94,DEL,COK,17:55:00,0,11400000000,21:05:00,0,,In,IndiGo,12345.0,0.0,0.0
95,DEL,COK,17:55:00,1,11400000000,21:05:00,1,,In,IndiGo,12345.0,0.0,0.0
96,DEL,COK,14:55:00,0,11700000000,18:10:00,0,,Ai,AirAsia India,12346.0,0.0,0.0
97,DEL,COK,14:55:00,3,11700000000,18:10:00,3,,Ai,AirAsia India,12346.0,0.0,0.0
98,DEL,COK,14:55:00,1,11700000000,18:10:00,1,,Ai,AirAsia India,12346.0,0.0,0.0
99,DEL,HYD,21:55:00,6,8400000000,00:15:00,6,,Sp,SpiceJet,6661.0,0.0,0.0
100,DEL,HYD,21:55:00,5,8400000000,00:15:00,5,,Sp,SpiceJet,6661.0,0.0,0.0
101,DEL,HYD,05:45:00,5,7200000000,07:45:00,5,,Go,Go First,6979.0,0.0,0.0
102,DEL,HYD,05:45:00,6,7200000000,07:45:00,6,,Go,Go First,6979.0,0.0,0.0
103,DEL,HYD,18:55:00,6,7800000000,21:05:00,6,,Go,Go First,6979.0,0.0,0.0
104,DEL,HYD,18:55:00,5,7800000000,21:05:00,5,,Go,Go First,7502.0,0.0,0.0
105,DEL,HYD,07:10:00,1,8100000000,09:25:00,1,,Ai,Air India,9023.0,0.0,0.0
106,DEL,HYD,07:20:00,3,7500000000,09:25:00,3,,Vi,Vistara,9681.0,10933.0,0.0
107,DEL,HYD,07:20:00,6,7500000000,09:25:00,6,,Vi,Vistara,9681.0,11959.0,26375.0
108,DEL,HYD,14:45:00,2,8100000000,17:00:00,2,,Vi,Vistara,9681.0,10760.0,0.0
109,DEL,HYD,20:35:00,6,8400000000,22:55:00,6,,Vi,Vistara,9681.0,10760.0,26375.0
110,DEL,HYD,07:10:00,5,8100000000,09:25:00,5,,Ai,Air India,9781.0,0.0,0.0
111,DEL,HYD,07:10:00,6,8100000000,09:25:00,6,,Ai,Air India,9781.0,0.0,0.0
112,DEL,HYD,07:20:00,4,7500000000,09:25:00,4,,Vi,Vistara,9867.0,10933.0,26375.0
113,DEL,HYD,07:20:00,2,7500000000,09:25:00,2,,Vi,Vistara,9867.0,10933.0,26250.0
114,DEL,HYD,21:55:00,3,8400000000,00:15:00,3,,Sp,SpiceJet,9867.0,0.0,0.0
115,DEL,HYD,21:55:00,4,8400000000,00:15:00,4,,Sp,SpiceJet,9867.0,0.0,0.0
116,DEL,HYD,21:55:00,1,8400000000,00:15:00,1,,Sp,SpiceJet,9867.0,0.0,0.0
117,DEL,HYD,21:55:00,2,8400000000,00:15:00,2,,Sp,SpiceJet,9867.0,0.0,0.0
118,DEL,HYD,09:45:00,1,7500000000,11:50:00,1,,Ai,Air India,9868.0,0.0,0.0
119,DEL,HYD,09:45:00,4,7500000000,11:50:00,4,,Ai,Air India,9868.0,0.0,0.0
120,DEL,HYD,21:30:00,2,8100000000,23:45:00,2,,Ai,Air India,9868.0,0.0,26427.0
121,DEL,HYD,07:10:00,2,8100000000,09:25:00,2,,Ai,Air India,9868.0,0.0,26427.0
122,DEL,HYD,07:10:00,4,8100000000,09:25:00,4,,Ai,Air India,9868.0,0.0,26427.0
123,DEL,HYD,20:35:00,2,8400000000,22:55:00,2,,Vi,Vistara,10046.0,10760.0,0.0
124,DEL,TRV,08:10:00,5,11700000000,11:25:00,5,,Vi,Vistara,13546.0,15966.0,37281.0
125,DEL,TRV,08:10:00,2,11700000000,11:25:00,2,,Vi,Vistara,13546.0,16638.0,69590.0
126,DEL,TRV,08:10:00,6,11700000000,11:25:00,6,,Vi,Vistara,13546.0,15966.0,37281.0
127,DEL,TRV,08:10:00,0,11700000000,11:25:00,0,,Vi,Vistara,13546.0,15966.0,54735.0
128,DEL,TRV,08:10:00,3,11700000000,11:25:00,3,,Vi,Vistara,13546.0,15966.0,32966.0
129,DEL,TRV,08:10:00,4,11700000000,11:25:00,4,,Vi,Vistara,13728.0,15966.0,59049.0
130,DEL,TRV,08:10:00,1,11700000000,11:25:00,1,,Vi,Vistara,13728.0,15966.0,37281.0
131,DEL,TRV,15:00:00,3,11700000000,18:15:00,3,,Ai,Air India,13731.0,0.0,64344.0
132,DEL,TRV,15:00:00,5,11700000000,18:15:00,5,,Ai,Air India,13731.0,0.0,33738.0
133,DEL,TRV,15:00:00,4,11700000000,18:15:00,4,,Ai,Air India,13731.0,0.0,47626.0
134,DEL,TRV,15:00:00,2,11700000000,18:15:00,2,,Ai,Air India,13731.0,0.0,33138.0
135,DEL,TRV,15:00:00,1,11700000000,18:15:00,1,,Ai,Air India,13731.0,0.0,33138.0
136,DEL,TRV,15:00:00,0,11700000000,18:15:00,0,,Ai,Air India,13928.0,0.0,33138.0
137,DEL,TRV,21:35:00,6,11700000000,00:50:00,6,,In,IndiGo,14124.0,0.0,0.0
138,DEL,TRV,21:35:00,0,11700000000,00:50:00,0,,In,IndiGo,14124.0,0.0,0.0
139,DEL,TRV,21:35:00,5,11700000000,00:50:00,5,,In,IndiGo,14124.0,0.0,0.0
140,DEL,TRV,21:35:00,2,11700000000,00:50:00,2,,In,IndiGo,14124.0,0.0,0.0
141,DEL,TRV,21:35:00,1,11700000000,00:50:00,1,,In,IndiGo,14124.0,0.0,0.0
142,DEL,TRV,21:35:00,3,11700000000,00:50:00,3,,In,IndiGo,14124.0,0.0,0.0
143,DEL,TRV,21:35:00,4,11700000000,00:50:00,4,,In,IndiGo,14481.0,0.0,0.0
144,DEL,TRV,15:00:00,6,11700000000,18:15:00,6,,Ai,Air India,15036.0,0.0,33738.0
145,DEL,CCU,05:30:00,1,7800000000,07:40:00,1,,Go,Go First,5218.0,0.0,0.0
146,DEL,CCU,07:00:00,6,7500000000,09:05:00,6,,Sp,SpiceJet,5424.0,0.0,0.0
147,DEL,CCU,05:30:00,6,7800000000,07:40:00,6,,Go,Go First,5607.0,0.0,0.0
148,DEL,CCU,07:00:00,1,7500000000,09:05:00,1,,Sp,SpiceJet,6280.0,0.0,0.0
149,DEL,CCU,19:30:00,3,8700000000,21:55:00,3,,Sp,SpiceJet,6280.0,0.0,0.0
150,DEL,CCU,19:30:00,6,8700000000,21:55:00,6,,Sp,SpiceJet,6300.0,0.0,0.0
151,DEL,CCU,05:30:00,3,7800000000,07:40:00,3,,Go,Go First,6499.0,0.0,0.0
152,DEL,CCU,19:30:00,1,8700000000,21:55:00,1,,Sp,SpiceJet,6580.0,0.0,0.0
153,DEL,CCU,20:15:00,0,7800000000,22:25:00,0,,Ai,Air India,8709.0,0.0,30742.0
154,DEL,CCU,07:00:00,4,7500000000,09:05:00,4,,Sp,SpiceJet,8824.0,0.0,0.0
155,DEL,CCU,07:00:00,2,7500000000,09:05:00,2,,Sp,SpiceJet,8824.0,0.0,0.0
156,DEL,CCU,19:30:00,2,8700000000,21:55:00,2,,Sp,SpiceJet,8824.0,0.0,0.0
157,DEL,CCU,17:30:00,4,7500000000,19:35:00,4,,Vi,Vistara,9344.0,0.0,0.0
158,DEL,CCU,07:30:00,3,7500000000,09:35:00,3,,Vi,Vistara,9344.0,10931.0,0.0
159,DEL,CCU,06:15:00,3,7500000000,08:20:00,3,,Vi,Vistara,9344.0,10931.0,0.0
160,DEL,CCU,07:30:00,4,7500000000,09:35:00,4,,Vi,Vistara,9344.0,10931.0,0.0
161,DEL,CCU,17:30:00,3,7500000000,19:35:00,3,,Vi,Vistara,9344.0,11050.0,0.0
162,DEL,CCU,07:30:00,5,7500000000,09:35:00,5,,Vi,Vistara,9344.0,10758.0,30570.0
163,DEL,CCU,06:15:00,4,7500000000,08:20:00,4,,Vi,Vistara,9344.0,10758.0,0.0
164,DEL,CCU,15:55:00,4,7800000000,18:05:00,4,,Vi,Vistara,9344.0,10878.0,0.0
165,DEL,CCU,20:30:00,5,8100000000,22:45:00,5,,Vi,Vistara,9344.0,10638.0,30570.0
166,DEL,CCU,06:15:00,5,7500000000,08:20:00,5,,Vi,Vistara,9523.0,10758.0,30570.0
167,DEL,CCU,17:30:00,5,7500000000,19:35:00,5,,Vi,Vistara,9523.0,10878.0,0.0
168,DEL,CCU,15:55:00,5,7800000000,18:05:00,5,,Vi,Vistara,9523.0,10878.0,0.0
169,DEL,CCU,20:30:00,3,8100000000,22:45:00,3,,Vi,Vistara,9523.0,10811.0,0.0
170,DEL,AMD,05:45:00,5,6000000000,07:25:00,5,,Sp,SpiceJet,4745.0,0.0,0.0
171,DEL,AMD,17:05:00,5,4800000000,18:25:00,5,,Go,Go First,5100.0,0.0,0.0
172,DEL,AMD,05:20:00,5,5700000000,06:55:00,5,,Go,Go First,5100.0,0.0,0.0
173,DEL,AMD,20:20:00,5,5700000000,21:55:00,5,,Go,Go First,5100.0,0.0,0.0
174,DEL,AMD,18:10:00,5,5400000000,19:40:00,5,,Sp,SpiceJet,5653.0,0.0,0.0
175,DEL,AMD,05:45:00,3,6000000000,07:25:00,3,,Sp,SpiceJet,7192.0,0.0,0.0
176,DEL,AMD,05:45:00,6,6000000000,07:25:00,6,,Sp,SpiceJet,7192.0,0.0,0.0
177,DEL,AMD,06:30:00,3,5100000000,07:55:00,3,,Vi,Vistara,7712.0,9075.0,21881.0
178,DEL,AMD,21:20:00,3,6000000000,23:00:00,3,,Vi,Vistara,7712.0,10034.0,20383.0
179,DEL,AMD,21:20:00,1,6000000000,23:00:00,1,,Vi,Vistara,7712.0,10034.0,24697.0
180,DEL,AMD,18:10:00,2,6300000000,19:55:00,2,,Vi,Vistara,7712.0,10034.0,26195.0
181,DEL,AMD,19:00:00,5,5700000000,20:35:00,5,,Ai,Air India,7825.0,0.0,22593.0
182,DEL,AMD,06:30:00,5,5100000000,07:55:00,5,,Vi,Vistara,7891.0,9075.0,23798.0
183,DEL,AMD,06:30:00,2,5100000000,07:55:00,2,,Vi,Vistara,7891.0,9075.0,26195.0
184,DEL,AMD,06:30:00,4,5100000000,07:55:00,4,,Vi,Vistara,7891.0,9075.0,0.0
185,DEL,AMD,18:10:00,0,5400000000,19:40:00,0,,Sp,SpiceJet,7891.0,0.0,0.0
186,DEL,AMD,18:10:00,3,5400000000,19:40:00,3,,Sp,SpiceJet,7891.0,0.0,0.0
187,DEL,AMD,18:10:00,2,5400000000,19:40:00,2,,Sp,SpiceJet,7891.0,0.0,0.0
188,DEL,AMD,21:20:00,2,6000000000,23:00:00,2,,Vi,Vistara,7891.0,10034.0,24697.0
189,DEL,AMD,21:20:00,0,6000000000,23:00:00,0,,Vi,Vistara,7891.0,10034.0,24697.0
190,DEL,AMD,21:20:00,5,6000000000,23:00:00,5,,Vi,Vistara,7891.0,10034.0,22300.0
191,DEL,AMD,18:10:00,0,6300000000,19:55:00,0,,Vi,Vistara,7891.0,12851.0,22030.0
192,DEL,AMD,18:10:00,3,6300000000,19:55:00,3,,Vi,Vistara,7891.0,10034.0,21881.0
193,DEL,AMD,19:00:00,2,5700000000,20:35:00,2,,Ai,Air India,7894.0,0.0,21993.0
194,DEL,AMD,19:00:00,4,5700000000,20:35:00,4,,Ai,Air India,7894.0,0.0,22905.0
195,DEL,CCJ,17:10:00,1,11400000000,20:20:00,1,,In,IndiGo,10184.0,0.0,0.0
196,DEL,CCJ,05:45:00,0,11100000000,08:50:00,0,,Ai,Air India,10473.0,0.0,27558.0
197,DEL,CCJ,05:45:00,2,11100000000,08:50:00,2,,Ai,Air India,10473.0,0.0,27558.0
198,DEL,CCJ,05:45:00,4,15900000000,10:10:00,4,,Ai,Air India,10473.0,0.0,0.0
199,DEL,CCJ,05:45:00,1,15900000000,10:10:00,1,,Ai,Air India,10473.0,0.0,0.0
200,DEL,CCJ,05:45:00,5,11100000000,08:50:00,5,,Ai,Air India,11197.0,0.0,27558.0
201,DEL,CCJ,05:45:00,6,15900000000,10:10:00,6,,Ai,Air India,11197.0,0.0,0.0
202,DEL,CCJ,05:45:00,3,15900000000,10:10:00,3,,Ai,Air India,11366.0,0.0,0.0
203,DEL,CCJ,17:10:00,2,11400000000,20:20:00,2,,In,IndiGo,11512.0,0.0,0.0
204,DEL,CCJ,17:10:00,0,11400000000,20:20:00,0,,In,IndiGo,11512.0,0.0,0.0
205,DEL,CCJ,17:10:00,6,11400000000,20:20:00,6,,In,IndiGo,12237.0,0.0,0.0
206,DEL,CCJ,17:10:00,5,11400000000,20:20:00,5,,In,IndiGo,12237.0,0.0,0.0
207,DEL,CCJ,17:10:00,3,11400000000,20:20:00,3,,In,IndiGo,13081.0,0.0,0.0
208,DEL,CCJ,17:10:00,4,11400000000,20:20:00,4,,In,IndiGo,19119.0,0.0,0.0
209,DEL,JAI,20:00:00,5,4500000000,21:15:00,5,,Sp,SpiceJet,4354.0,0.0,0.0
210,DEL,JAI,20:00:00,0,4500000000,21:15:00,0,,Sp,SpiceJet,4354.0,0.0,0.0
211,DEL,JAI,20:00:00,6,4500000000,21:15:00,6,,Sp,SpiceJet,4354.0,0.0,0.0
212,DEL,JAI,20:00:00,1,4500000000,21:15:00,1,,Sp,SpiceJet,4354.0,0.0,0.0
213,DEL,JAI,21:05:00,1,3000000000,21:55:00,1,,In,IndiGo,4751.0,0.0,0.0
214,DEL,JAI,13:00:00,5,3000000000,13:50:00,5,,In,IndiGo,4751.0,0.0,0.0
215,DEL,JAI,13:00:00,2,3000000000,13:50:00,2,,In,IndiGo,4751.0,0.0,0.0
216,DEL,JAI,21:05:00,2,3000000000,21:55:00,2,,In,IndiGo,4751.0,0.0,0.0
217,DEL,JAI,13:00:00,3,3000000000,13:50:00,3,,In,IndiGo,4751.0,0.0,0.0
218,DEL,JAI,21:05:00,6,3000000000,21:55:00,6,,In,IndiGo,4751.0,0.0,0.0
219,DEL,JAI,21:05:00,5,3000000000,21:55:00,5,,In,IndiGo,4751.0,0.0,0.0
220,DEL,JAI,13:00:00,4,3000000000,13:50:00,4,,In,IndiGo,4751.0,0.0,0.0
221,DEL,JAI,21:05:00,3,3000000000,21:55:00,3,,In,IndiGo,4751.0,0.0,0.0
222,DEL,JAI,13:00:00,1,3000000000,13:50:00,1,,In,IndiGo,4751.0,0.0,0.0
223,DEL,JAI,21:05:00,4,3000000000,21:55:00,4,,In,IndiGo,4751.0,0.0,0.0
224,DEL,JAI,13:00:00,6,3000000000,13:50:00,6,,In,IndiGo,4751.0,0.0,0.0
225,DEL,JAI,08:30:00,4,3300000000,09:25:00,4,,In,IndiGo,4751.0,0.0,0.0
226,DEL,JAI,08:30:00,6,3300000000,09:25:00,6,,In,IndiGo,4751.0,0.0,0.0
227,DEL,JAI,08:30:00,3,3300000000,09:25:00,3,,In,IndiGo,4751.0,0.0,0.0
228,DEL,JAI,08:30:00,2,3300000000,09:25:00,2,,In,IndiGo,4751.0,0.0,0.0
229,DEL,JAI,08:30:00,1,3300000000,09:25:00,1,,In,IndiGo,4751.0,0.0,0.0
230,DEL,JAI,08:30:00,5,3300000000,09:25:00,5,,In,IndiGo,4751.0,0.0,0.0
231,DEL,JAI,07:20:00,4,3600000000,08:20:00,4,,In,IndiGo,4751.0,0.0,0.0
232,DEL,JAI,07:20:00,2,3600000000,08:20:00,2,,In,IndiGo,4751.0,0.0,0.0
233,DEL,JAI,07:20:00,1,3600000000,08:20:00,1,,In,IndiGo,4751.0,0.0,0.0
234,DEL,GOI,15:10:00,5,9000000000,17:40:00,5,,Sp,SpiceJet,6059.0,0.0,0.0
235,DEL,GOI,12:05:00,5,8400000000,14:25:00,5,,Sp,SpiceJet,6118.0,0.0,0.0
236,DEL,GOI,10:40:00,5,9300000000,13:15:00,5,,Ai,AirAsia India,7161.0,0.0,0.0
237,DEL,GOI,10:50:00,5,9600000000,13:30:00,5,,Go,Go First,7756.0,0.0,0.0
238,DEL,GOI,09:00:00,5,9300000000,11:35:00,5,,Sp,SpiceJet,8361.0,0.0,0.0
239,DEL,GOI,15:10:00,1,9000000000,17:40:00,1,,Sp,SpiceJet,9986.0,0.0,0.0
240,DEL,GOI,15:10:00,0,9000000000,17:40:00,0,,Sp,SpiceJet,9986.0,0.0,0.0
241,DEL,GOI,15:10:00,6,9000000000,17:40:00,6,,Sp,SpiceJet,9986.0,0.0,0.0
242,DEL,GOI,22:00:00,0,9600000000,00:40:00,0,,Ai,Air India,9989.0,0.0,33199.0
243,DEL,GOI,11:10:00,0,9600000000,13:50:00,0,,Vi,Vistara,10647.0,12670.0,37340.0
244,DEL,GOI,11:10:00,5,9600000000,13:50:00,5,,Vi,Vistara,10647.0,12670.0,37340.0
245,DEL,GOI,11:10:00,1,9600000000,13:50:00,1,,Vi,Vistara,10647.0,13989.0,61249.0
246,DEL,GOI,18:40:00,1,9600000000,21:20:00,1,,Vi,Vistara,10647.0,12011.0,45070.0
247,DEL,GOI,18:40:00,5,9600000000,21:20:00,5,,Vi,Vistara,10647.0,12011.0,37340.0
248,DEL,GOI,18:40:00,0,9600000000,21:20:00,0,,Vi,Vistara,10647.0,12011.0,37340.0
249,DEL,GOI,22:00:00,5,9600000000,00:40:00,5,,Ai,Air India,10738.0,0.0,33199.0
250,DEL,GOI,10:45:00,5,10200000000,13:35:00,5,,Ai,Air India,10738.0,0.0,0.0
251,DEL,GOI,18:40:00,2,9600000000,21:20:00,2,,Vi,Vistara,10833.0,12011.0,45070.0
252,DEL,GOI,22:00:00,1,9600000000,00:40:00,1,,Ai,Air India,10835.0,0.0,33199.0
253,DEL,GOI,22:00:00,4,9600000000,00:40:00,4,,Ai,Air India,10835.0,0.0,33199.0
